id,event_id,series_id
2701,6347,3209
3012,6814,3663
2632,6278,3209
1097,2235,2761
3971,8910,3939
3093,6903,3692
2615,6200,3209
4346,9426,3985
3095,6906,3693
3096,6921,3549
2609,6172,3209
2611,6196,3209
2612,6197,3209
878,1932,2587
879,1933,2587
880,1934,2587
881,1938,2587
882,1939,2587
883,1940,2587
884,1941,2587
885,1942,2587
886,1943,2587
887,1944,2587
888,1945,2587
889,1946,2587
890,1947,2587
891,1948,2587
892,1949,2587
893,1950,2587
894,1959,2587
895,1960,2587
896,1961,2587
897,1962,2587
898,1981,2587
899,1982,2587
900,1983,2587
34315,64214,18881
18863,37338,9113
2613,6198,3209
2628,6242,3209
2631,6272,3209
2639,6285,3209
2640,6286,3209
2641,6287,3209
2642,6288,3209
2643,6289,3209
2644,6290,3209
2645,6291,3209
2646,6292,3209
2647,6293,3209
2648,6294,3209
2649,6295,3209
2650,6296,3209
2655,6301,3209
2420,5825,3581
3275,7326,3690
3276,7327,3690
3757,6110,3848
4347,9431,2749
3756,8275,2752
1891,4678,3282
4348,9432,2752
4349,9433,2752
1832,4604,3282
1833,4605,3282
1192,2388,2861
1193,2389,2861
1194,2390,2861
1195,2391,2861
1196,2392,2861
1197,2393,2861
1198,2394,2861
1199,2395,2861
1200,2396,2861
4350,7109,2760
1969,4784,2758
3972,8911,3939
1968,4783,2758
1834,4606,3282
1696,3975,3209
16715,32019,8195
2603,6155,3209
2614,6199,3209
2624,6230,3209
1424,3033,3137
5030,10421,4032
1225,2415,2875
1226,2417,2875
4676,9842,3924
5031,10422,4032
5032,10423,4032
1227,2418,2875
5033,10424,4032
1228,2419,2875
1229,2420,2875
1230,2423,2875
1231,2424,2875
1263,2472,2879
1232,2425,2875
1233,2426,2875
1234,2427,2875
5034,10425,4032
1235,2428,2875
1236,2429,2875
1237,2430,2875
1238,2443,2875
1239,2444,2875
1240,2445,2875
1241,2446,2875
1242,2447,2875
1264,2473,2879
1244,2453,2875
5035,10426,4032
1245,2454,2875
1246,2455,2875
1247,2456,2875
1248,2457,2875
1249,2458,2875
1250,2459,2875
1251,2460,2875
1252,2461,2879
1253,2462,2879
1254,2463,2879
1255,2464,2879
1256,2465,2879
1257,2466,2879
1258,2467,2879
1259,2468,2879
1260,2469,2879
1261,2470,2879
1262,2471,2879
1265,2474,2879
1266,2475,2879
1267,2476,2879
1268,2477,2879
1269,2478,2879
1270,2479,2879
2389,5656,2746
2,79,2335
1273,2505,2758
2886,6616,3662
3758,8278,2370
1189,2385,2861
1201,2397,2862
1202,2398,2862
1203,2399,2862
1204,2400,2862
1205,2401,2862
1206,2402,2862
1207,2403,2862
1208,2404,2862
1209,2405,2862
1210,2406,2862
1211,2407,2862
1212,2408,2862
1213,2409,2862
1214,2410,2862
1215,2411,2862
1216,2412,2862
1217,2413,2862
1218,2414,2862
1820,4592,3282
1271,2480,2879
1821,4593,3282
1243,2452,2875
3277,7328,3690
16700,31971,6128
5036,10427,4032
18214,35711,8115
1822,4594,3282
5037,10428,4032
1837,4609,3282
5038,10429,4032
3013,6815,3663
2073,4967,3364
30533,57797,15766
380,1324,2455
401,1293,2456
403,1341,2457
906,1990,2458
444,1388,2458
2893,6628,3663
2337,5499,2768
2894,6629,3665
5039,10430,4032
1431,3078,2985
1434,3257,2734
1435,3258,2734
1437,3260,2734
2339,5502,2739
1432,3254,2757
1441,3273,2747
3973,8912,3939
22281,44472,12393
5040,10431,4032
2390,5659,2747
7652,14545,4495
2404,5758,3573
1819,4591,3282
1442,3274,2749
1099,2237,2734
2405,5759,3574
1433,3255,2757
1436,3259,2734
30537,57801,15766
2634,6280,3209
30534,57798,15766
3278,7329,3690
3279,7330,3690
1823,4595,3282
1827,4599,3282
5041,10432,4032
7653,14546,4495
3759,8279,3338
27923,53995,14525
1818,4590,3282
1815,4587,3282
1841,4613,3282
1100,2238,2758
1842,4614,3282
1843,4615,3282
1844,4616,3282
1845,4617,3282
1846,4618,3282
6596,13047,4267
1847,4619,3282
1848,4620,3282
1849,4621,3282
2620,6219,3619
2621,6220,3619
1850,4622,3282
2604,6158,3209
2605,6165,3209
1687,3721,3209
1688,3723,3209
1695,3730,3209
1698,3736,3209
1970,4785,2758
1971,4786,2757
1699,3737,3209
1689,3724,3209
1690,3725,3209
1855,4641,3282
1856,4642,3282
1857,4643,3282
1858,4644,3282
4352,9448,3911
3,187,2335
16701,31977,7025
71,651,2349
72,652,2349
127,739,2349
1859,4645,3282
1860,4646,3282
1861,4647,3282
2606,6166,3209
2607,6167,3209
4351,9447,3911
2608,6168,3209
1972,4788,2757
1973,4789,2757
2421,5826,3581
2629,6252,2758
4677,9843,3924
5951,12171,4177
2074,4968,3364
48892,94027,4452
3014,6816,3663
1426,3035,3137
1427,3036,3137
8763,17059,4814
1873,4659,3282
2704,6350,3209
2236,5080,2748
10019,19548,2762
2630,6256,3509
2705,6351,3209
2238,5224,2748
2707,6353,3209
2708,6354,3209
18215,35712,8115
2709,6355,3209
2710,6356,3209
2711,6357,3209
2713,6359,3209
2725,6371,3209
3097,6927,3282
7654,14547,4495
1974,4792,2755
5042,10433,4032
1652,3649,3179
1653,3650,3179
1654,3651,3179
1655,3652,3179
1656,3653,3179
1657,3654,3179
1658,3655,3179
153,4690,2382
33319,62884,18551
3281,7332,3690
18244,154,2985
2726,6372,3628
