id,event_id,place_id
68254,78111,23724
2195,2483,8957
68577,78448,60415
2198,2487,1053
2141,2424,2595
2146,2429,9644
2148,2431,9645
2150,2433,5621
2157,2444,8592
2172,2459,8614
2173,2460,8614
127,134,6956
170,344,796
1657,1949,836
2190,2477,7834
193,367,833
202,376,841
1672,1973,1471
208,382,852
213,387,859
1756,2067,5802
245,419,2488
1534,1818,8825
246,420,2488
2047,2337,832
2051,2342,8850
1340,1599,838
2139,2422,2399
32832,37283,10949
1379,1645,8719
1419,1693,8745
1426,1704,8774
1460,1739,8586
1497,1777,8818
1711,2021,8944
1701,2011,2289
1550,1840,8833
1558,1848,829
1567,1857,8560
2252,2556,1767
2080,308,5925
1574,1831,7820
1591,1884,8852
1593,1886,8579
1597,1890,801
1617,1910,8573
1713,2023,8839
1723,2033,8702
1749,2060,8967
1854,2168,9087
1765,2077,8991
1780,2092,9005
1818,2132,2601
1829,2141,830
51440,59460,38173
2089,2371,8863
2111,2393,8550
1926,2228,4670
68746,78618,11993
1995,2290,9296
2199,2488,1081
1889,253,9218
1890,282,9218
1891,311,9218
1892,183,9218
1893,144,9218
1894,195,9218
1895,200,9218
1896,206,9218
2011,2302,773
2143,2426,832
2158,2445,9693
2174,2461,8708
1986,2267,9275
2000,2297,9342
2017,2310,3001
2024,246,9399
2029,2316,9410
28119,31923,820
2393,2694,1767
2446,2749,1767
2507,2811,1767
2558,2863,1767
2598,2903,1767
2349,2650,1767
3353,3949,8413
128,135,7789
2191,2478,7834
129,136,7907
1658,1950,8867
131,138,3008
132,141,8169
173,347,824
133,147,2823
134,151,8170
135,187,2346
136,192,8171
137,231,1567
1757,2068,8979
139,296,8172
140,313,8165
2001,1674,9347
141,315,7441
142,316,3008
60697,69667,52586
1897,261,9219
1702,979,8937
145,319,864
146,320,862
1898,251,9219
147,321,818
148,322,814
149,323,814
1575,1861,2977
150,324,870
151,325,869
1899,178,9219
152,326,816
153,327,874
1900,173,9219
154,328,1011
1341,1600,818
155,329,1011
1356,1622,8566
156,330,1011
28120,31924,820
157,331,829
1380,1646,8720
158,332,2544
1427,1705,8776
159,333,876
1461,1740,8579
1498,1778,8818
1535,1820,3603
1901,191,9219
1551,1841,2595
1559,1849,807
1568,1858,8839
1902,209,9219
1903,274,9219
1592,1885,8853
1619,1912,8713
187,361,790
1904,257,9219
194,368,833
1712,2022,8561
96804,110161,55618
1724,2034,8592
217,391,891
1855,2169,9086
232,406,835
1766,2078,8992
1781,2093,9008
1819,215,2601
1830,2142,830
1905,258,9219
2052,2343,8713
2253,2557,1767
51441,59462,38173
2090,2372,8550
2112,2394,8702
1927,2230,8193
1673,1974,9149
2119,2401,2592
1906,264,9219
1907,240,9219
1908,256,9219
2012,2303,6708
2144,2427,8564
2159,2446,827
21720,24544,4299
51449,59467,7552
2025,2312,9400
2030,2317,9411
51665,59775,2719
2350,2651,1767
2175,2462,8564
2394,2695,1767
2440,2743,1767
2441,2744,1767
2447,2750,1767
2509,2813,1767
2528,2832,1767
2559,2864,1767
2599,2904,1767
2215,2518,1767
2627,2932,1767
3354,3950,8413
1659,1957,1296
51668,186,5925
379,553,2571
2192,2479,8561
1758,2069,8960
1536,1821,8825
3186,3778,11183
2216,2519,1767
1576,1863,8825
2254,2558,1767
56372,64997,58158
1342,1601,2597
1358,1624,2592
1381,1647,8721
1428,1706,8571
1462,1741,8580
1499,1779,8819
1552,1842,2595
1569,1859,8839
2351,2652,1767
2352,2653,1767
1594,1887,836
33332,37889,1618
2395,2696,1767
2412,2714,1767
2450,2753,1767
1714,2024,8839
1725,2035,8592
1856,2170,9089
1767,2079,8993
104226,118149,84899
104584,118550,69136
1821,309,2601
1822,273,2601
1831,2143,837
2510,2814,1767
1928,2229,8193
2560,2865,1767
2600,2905,1767
2002,1670,9348
1909,263,9220
2625,2930,1767
432,606,857
2460,2764,1767
1988,2269,9280
2026,2313,9400
2031,2318,9398
444,618,5421
448,622,5902
454,628,5911
457,631,2744
2053,2344,8574
461,635,5641
462,636,3933
463,637,8174
466,640,3363
469,644,8176
472,647,8175
476,652,8175
2091,2373,8561
482,658,8180
2113,2395,836
2120,2402,8561
2160,2447,827
2176,2463,3363
2184,2471,8560
1660,1958,922
51442,59463,38173
2193,2480,8870
380,554,2602
1759,2070,8960
1537,1822,8825
2255,2559,1767
51450,59491,2216
1343,1602,2597
51451,59492,20378
51452,59494,49846
1361,1627,8711
1362,1628,8713
1382,1648,8722
1384,1650,8561
1429,1707,8777
1463,1742,8801
1500,1780,8820
2353,2654,1767
2397,2698,1767
2435,2738,1767
2453,2757,1767
1577,1865,8607
1595,1888,827
1621,1914,8856
2511,2815,1767
2561,2866,1767
28121,31930,21151
1716,2026,832
1726,2036,8564
1727,2037,827
1768,2080,8994
1771,2083,8995
1784,2096,9010
1823,2127,2601
1832,2144,822
440,614,3920
2601,2906,1767
2217,2520,1767
26188,29636,11982
26191,29639,27558
2003,1680,9349
1910,270,8859
1929,2231,1496
452,626,3367
455,629,5537
1989,2270,9281
464,638,3008
467,642,8175
470,645,3008
2032,2319,8851
473,648,3008
474,649,3008
477,654,7444
480,656,8169
483,659,8181
2054,2345,9489
2161,2448,1036
3188,3780,11185
485,661,786
486,662,781
2092,2374,8614
2114,2396,8772
2121,2403,8713
2177,2464,2592
1661,1959,7834
1620,1913,37230
1538,1823,8825
2724,3154,840
2257,2561,1767
51443,59464,38173
2354,2655,1767
1360,1626,875
1385,1651,8563
1430,1708,8570
1464,1743,8802
1502,1783,8592
2398,2699,1767
2454,2758,1767
1578,1537,8607
1596,1889,827
1622,1915,8579
1717,2027,8945
1728,2038,827
1769,2081,791
1785,2097,1035
1833,2145,830
2475,2779,1767
1930,2232,8318
409,583,3022
2513,2817,1767
2004,1677,9350
1911,210,9222
413,587,5802
2518,2822,1767
2562,2867,1767
2033,2320,9398
2603,2908,1767
2218,2521,1767
2055,2346,8579
2162,2449,1033
2708,3078,10211
2093,2375,8614
2115,2397,8705
2122,2404,875
33333,37890,1618
2725,3073,9944
32833,37284,10949
2661,2996,1330
2747,3274,4812
2727,3199,10342
2677,3025,10056
2211,2513,9296
447,621,5918
450,624,854
35111,40172,11098
2637,2952,9932
2656,2981,9968
2658,307,9971
2660,2987,9979
2669,3013,2218
458,632,3607
2690,3044,2399
60698,48108,52586
460,634,4786
2672,2441,6661
465,639,3008
468,643,8175
471,646,8178
2696,3061,2399
475,651,8175
478,655,7444
2715,3138,829
481,657,3008
2729,3202,10348
2684,3033,2223
2705,3072,10163
44553,51415,49059
68255,78112,23724
2691,3045,3221
51453,59496,55028
2692,3054,10089
2712,3108,1767
2697,3063,10154
2714,3112,10250
2744,3263,10380
2717,3140,932
21721,24545,11991
80726,92242,71023
51666,59776,17797
2722,3150,840
2730,3203,10348
2731,3213,10351
2733,3215,10348
2735,3254,2887
88290,100661,62513
71958,82168,917
71959,82169,917
2741,3260,8519
2746,3273,10384
2745,3268,1568
2726,3171,10309
77745,89023,69462
2749,3276,10388
2752,3288,2408
2750,3278,10389
2756,3295,10451
2728,3200,10325
2757,3296,1313
2759,3298,10453
2760,3299,986
2761,3300,8317
2763,3305,10455
2765,3307,10456
2766,3308,10402
2767,3309,7746
28122,31931,32250
2772,3314,10457
487,663,8182
1662,1960,7834
1677,1978,5271
2219,2522,1767
492,669,800
2258,2562,1767
493,670,3008
495,672,7441
2719,3144,1386
51444,59465,38173
33334,37891,1618
497,674,3008
51454,59497,52897
51667,59777,10040
1363,1629,8592
500,677,771
1386,1652,8582
1431,1709,8778
1465,1744,8802
1503,1784,7834
1539,1824,2387
2355,2656,1767
26189,29637,27557
1598,1891,8854
28123,31932,32251
1770,2082,791
506,683,8185
1786,2098,1273
1834,2146,830
508,685,8174
2387,2688,1767
2388,2689,1767
2399,2701,1767
2005,1672,9351
1931,2233,9256
2405,2707,1767
513,693,8186
2457,2761,1767
2034,2321,814
515,698,8190
74,79,771
2515,2819,1767
2545,2849,1767
2563,2868,1767
116,668,5537
2056,2347,7834
518,703,8193
2163,2450,1036
519,704,8193
520,705,8194
2605,2910,1767
521,706,8193
2094,2376,8705
2123,2405,8839
2125,2407,801
2179,2466,8713
2662,2997,1267
2736,3255,8482
71960,82171,829
2678,3026,10056
2743,3262,1770
2638,2953,2218
2657,2982,9969
2659,2986,2218
2670,3012,2218
2673,3019,6661
2754,3291,10419
530,715,8196
2758,3297,5566
2685,3034,807
2707,3076,1187
2709,3079,1508
2693,3055,10132
2713,3109,10242
2762,3301,1477
2718,3141,10278
2723,3151,840
2716,3139,829
2732,3214,10352
2751,3279,10389
2768,3310,1267
2773,3315,8326
1663,1961,8870
1678,1979,5271
2220,2523,1767
2259,2563,1767
51670,59781,41650
1730,2040,8954
539,726,8199
1772,2084,8996
1787,2099,1273
51743,59868,51367
2356,2657,1767
1364,1630,8588
1387,1653,8726
1432,1710,3367
1466,1745,8803
547,732,8205
1514,1795,8814
1540,963,8830
2364,2665,1767
1580,1867,4299
1599,1892,8561
550,737,823
21722,24546,1770
551,739,8175
1624,1917,7834
552,740,8215
1835,2147,830
553,742,8217
32834,37285,10728
2401,2703,1767
555,744,8218
556,745,2857
1504,1785,820
88796,101210,23664
2461,2765,1767
557,746,7441
2517,2821,1767
2006,1681,9352
1913,2204,9216
1932,2234,9257
2564,2869,1767
2582,2887,1767
2607,2912,1767
2057,2348,7834
2164,2451,1357
2639,2954,9938
2764,3306,906
2095,2377,7834
2124,2406,8702
566,757,8221
2180,2467,8702
567,758,8222
2663,2998,8204
2666,3001,10001
2805,3372,9264
571,763,7441
2679,3027,10056
2807,3376,10668
573,765,8224
2671,3011,2218
574,766,1731
68256,78113,23724
575,767,8225
2675,2440,6661
576,768,7435
2694,3058,3810
577,769,2829
2686,3035,866
2824,3400,10770
2774,3321,3003
2775,3322,2111
2777,3325,840
2778,3326,840
2784,3333,10476
2785,3334,2710
2786,3335,10479
2788,3337,10480
104227,118150,84899
2791,3341,840
2792,3344,10534
2755,3292,10420
2769,3311,2028
2793,3350,840
2794,3354,840
2796,3359,840
56373,64998,16652
2800,3364,840
2801,3365,2148
2802,3367,3668
2820,3396,10754
2808,3377,10668
26190,29638,29755
2822,3398,10534
2804,3371,6777
2795,3355,10578
2811,3384,10680
2814,3388,10702
2815,3391,4313
2803,3369,2946
2816,3392,1330
2817,3393,10743
44554,51416,49059
2828,3403,10810
2829,3404,10812
2827,3402,3647
2830,3405,10813
45416,52309,18245
2832,3407,10816
2837,3412,4585
2839,3414,10823
2818,3394,9264
578,770,7444
579,771,3008
1664,1962,8870
2221,2524,1767
2260,2564,1767
583,777,8233
56393,65018,58918
585,779,889
51456,59501,1770
1731,2041,8560
60699,69668,804
1773,2085,8997
590,785,5271
591,786,2079
2357,2658,1767
592,787,8244
1366,1632,832
593,788,8245
1388,1654,8727
594,790,8164
1433,1711,8780
595,791,8248
1438,1716,8573
596,792,795
1467,1746,8804
597,793,8250
1505,1786,8822
1516,1797,8816
599,795,7130
600,796,7129
601,797,4243
2402,2704,1767
602,798,8252
1581,1866,8843
603,799,3008
21723,24547,1770
604,800,782
1625,1918,7834
605,801,3008
1774,2086,8998
606,802,3008
1788,2100,1273
607,803,3008
1836,2148,9044
608,804,791
609,805,3008
2456,2760,1767
2462,2766,1767
611,807,885
2519,2823,1767
612,808,8254
2007,1682,9353
613,809,8255
21818,24651,11400
2799,3362,839
1914,2205,9215
614,810,8254
77746,89024,69463
615,812,787
616,813,773
2526,2830,1767
88797,101211,77459
104228,118151,84899
2565,2870,1767
2569,2874,1767
2058,2349,8592
2609,2914,1767
2640,2956,4231
2096,2378,7834
2126,2408,8550
2165,2452,9694
2181,2468,8839
2664,2999,10000
2821,3397,1079
2680,3028,10056
2833,3408,10028
2676,3020,6661
2838,3413,10822
2687,3036,10083
26192,29640,29755
2776,3324,2111
2779,3327,840
2787,3336,10480
2789,3338,10480
2770,3312,1320
2797,3360,840
2812,3385,10680
2819,3395,10753
2823,3399,5537
2844,3419,10826
619,816,890
620,817,893
621,818,3008
2222,2525,1767
92369,105412,884
2231,2534,1767
623,820,2101
624,821,3008
21724,24548,1770
1368,1634,8550
1542,1827,964
1582,1868,8825
1789,2101,4670
1837,2149,8560
1389,1655,868
1665,1963,8871
1434,1712,8781
1506,1787,8822
1602,1895,8566
1626,1919,827
51457,59504,1770
2358,2659,1767
2403,2705,1767
2008,1673,9354
1915,2206,9219
639,839,8233
640,840,5655
2416,2718,1767
641,841,8224
642,842,8224
2464,2768,1767
643,843,8224
644,844,8224
2479,2783,1767
645,845,8224
2059,2350,8592
646,846,1624
647,847,1624
2520,2824,1767
648,849,3008
649,850,3008
2566,2871,1767
650,851,3008
21819,24652,26659
651,852,3008
2127,2409,8954
652,853,7441
2166,2453,8702
2182,2469,8566
2575,2880,1767
2592,2897,1767
2610,2915,1767
2894,3470,1887
2665,3000,1477
2681,3029,10056
2641,2957,9936
56394,65020,58275
2688,3037,1506
2780,3328,840
2798,3361,3163
2813,3386,10680
2261,2565,729
2853,3428,4812
3024,3605,10728
2859,3434,10835
2850,3425,7552
3027,3608,10952
2864,3440,10842
2863,3438,6303
2865,3441,10843
2867,3443,10847
2869,3445,10853
51671,59782,37301
2892,3468,10864
2893,3469,10865
2896,3472,10866
2902,3478,10820
2903,3480,10875
2910,3488,10884
3063,3644,10991
2930,3509,975
1468,1747,825
2854,3429,2045
2695,3059,2399
2932,3512,10887
2940,3519,10905
2936,3240,8183
2962,3543,10887
2941,3524,8224
2964,3517,10728
2942,3528,3001
2965,3545,830
2966,3546,10946
2967,3548,10887
26193,29641,18910
2989,3570,10887
2841,3416,10824
40645,47259,46761
2847,3422,10827
3010,3591,10952
3033,3614,10967
2862,3437,10131
3037,3618,10975
2901,3477,10820
3041,3622,10978
2906,3486,10883
3057,3638,3033
2923,3503,10887
2928,3506,10893
2223,2526,1767
2251,2555,1767
21725,24549,1770
1790,2102,4670
51458,59505,1770
2359,2660,1767
766,977,1580
1369,1635,8614
28124,31933,32252
1435,1713,8711
1507,1788,8614
1543,1828,7384
769,982,8357
2404,2706,1767
33335,37892,1618
164,339,2545
1627,1920,827
2465,2769,1767
1916,165,9222
559,748,8219
560,749,8219
561,750,8219
562,751,8219
563,752,8219
564,755,8220
88798,101212,77460
570,762,8220
2469,2773,1767
2522,2826,1767
2567,2872,1767
2060,2351,827
2570,2875,1767
2611,2916,1767
2098,2380,8566
2128,2410,9584
2835,3410,10818
2183,2470,875
2642,2959,9942
2667,3002,10002
2682,3030,10056
3034,3615,10968
2703,3070,10131
2781,3329,840
2262,2566,729
2866,3442,10844
2868,3444,10851
2870,3446,2688
586,780,6901
587,781,6901
51459,59506,1770
788,1010,5537
2897,3473,10867
3038,3619,10976
3042,3623,6784
3058,3639,10986
3064,3645,10992
3066,3647,10997
800,1014,795
2937,3239,8183
2842,3417,10825
2848,3423,7551
2851,3426,10831
2861,3436,10089
2904,3481,10875
2907,3487,10883
2911,3489,10884
2924,3502,10887
2931,3510,10895
2933,3513,10887
2956,3539,10930
2963,3544,10887
2927,3505,5189
2968,3549,10415
2990,3571,10887
3011,3592,10952
3025,3606,10952
3028,3609,10952
2224,2527,1767
51461,59508,1770
1734,2044,8550
1791,2103,2077
1839,2151,9048
51463,59512,1770
2360,2661,1767
1370,1636,8714
1371,1637,836
1374,1640,807
28127,31936,14323
1436,1714,853
1470,1749,812
1469,1748,825
2845,3420,4607
2855,3430,4611
1508,1789,8614
1544,1834,8832
2406,2708,1767
1584,1870,892
1604,1897,8550
1628,1921,8857
2467,2771,1767
2495,2799,1767
2523,2827,1767
2061,2353,8553
2538,2842,1767
686,893,8299
2568,2873,1767
2099,2381,8870
2129,2411,8560
21726,24550,26647
2185,2472,8592
2612,2917,1767
2683,3031,10056
2934,3515,10887
2704,3071,10132
2782,3330,840
77747,89025,71421
3080,3663,11021
3084,3667,10887
3091,3675,4075
3224,3816,8142
3029,3610,10728
2938,3241,8183
3149,3739,11125
26194,29642,18910
2849,3424,1832
3150,3740,11125
2856,3431,10834
104229,118152,84899
5300,6147,24026
2898,3474,6752
2905,3482,10875
2908,3484,10883
2912,3490,10884
3077,3659,11012
2925,3439,10887
3193,3785,6272
3204,3796,11209
3067,3648,10415
3093,3677,11032
21820,24653,24750
2836,3411,10819
3092,3676,9130
3099,3683,10887
3116,3703,11111
51460,59507,1770
2957,3540,1635
3104,3688,773
32835,37286,10887
2969,3550,10887
2991,3573,10887
3108,3695,11096
88799,101213,77463
3012,3593,10952
3129,3717,911
3134,3723,11120
3148,3738,11123
3026,3607,10952
3153,3744,11143
3035,3616,10969
3039,3620,10977
3043,3624,2999
3059,3640,10987
3065,3646,10993
3068,3649,10999
3205,3797,11210
3209,3801,11212
3212,3804,8142
3213,3805,11213
3219,3811,4928
3216,3808,11215
3217,3809,10577
3079,3661,10952
4657,5454,2791
3226,3818,2709
3227,3819,11218
3228,3820,5751
3229,3821,11220
3231,3823,11223
3233,3825,1165
3236,3828,11227
2225,2528,1767
3160,3751,11169
3192,3784,11190
3206,3798,7552
