id,event_id,name,locale,type,sort_name
712,2073,Die Ärzte at Stadthalle,,,Die Ärzte at Stadthalle
713,9269,Untold Festival,,,Untold Festival
1782,65032,東方兎月祭,ja,1,トウホウウゲツサイ
715,10405,A Concert to Fight Hunger,,1,A Concert to Fight Hunger
716,5205,WGT 2016,,2,WGT 2016
717,11417,ALEKSANDER – Dansk R´n B - Lyt Nyt,da,1,ALEKSANDER – Dansk R´n B - Lyt Nyt
72,175,Tsuki no Utage 2,en,,Tsuki no Utage 2
73,176,コミックマーケット69,ja,,コミックマーケット69
74,176,Comic Market 69,en,,Comic Market 69
212,225,Comiket 63,en,,Comiket 63
77,177,コミックマーケット80,ja,,コミックマーケット80
118,196,博麗神社例大祭（第9回）,ja,,博麗神社例大祭（第9回）
122,197,Comic Market 67,en,,Comic Market 67
692,5616,M3-2015秋,ja,1,M3-2015秋
131,199,Comiket 82,en,,Comiket 82
549,2088,ゲーム音楽コンサート③,ja,1,ゲーム音楽コンサート③
140,203,東方紅楼夢8,ja,,東方紅楼夢8
563,2003,David Bowie at Manhattan Center,,,David Bowie at Manhattan Center
141,203,Touhou Kouroumu 8,en,,Touhou Kouroumu 8
144,204,C83,,,C83
697,5781,VideoGameSoundsArena 2014,,2,VideoGameSoundsArena 2014
700,5939,TGS 2015,,2,TGS 2015
567,2132,東京ゲームショウ2002,ja,1,東京ゲームショウ2002
150,206,M3-2013春,ja,,M3-2013春
594,2125,TGS2011,,2,TGS2011
600,2129,TGS2005,,2,TGS2005
615,2200,M3-99秋,,2,M3-99秋
172,214,Comic Market 85,en,,Comic Market 85
149,205,Comiket 84,en,,Comiket 84
2250,65699,Comic Market 101,,,Comic Market 101
180,216,Hakurei Shrine Reitaisai 11,en,,Hakurei Shrine Reitaisai 11
642,2266,2015年夏コミ,,2,2015年夏コミ
651,2292,VOMAS 3,,2,VOMAS 3
162,210,M3 Festa,ja,1,エムスリーフェスタ
656,2323,C2,,2,C2
190,219,Comic Market 86,en,,Comic Market 86
669,2361,Touhou Kouroumu 11,en,1,Touhou Kouroumu 11
195,220,Reitaisai 12,,,Reitaisai 12
199,222,東方紅楼夢10,ja,,東方紅楼夢10
206,224,Comic Market 64,en,,Comic Market 64
219,227,C62,,,C62
221,228,コミックマーケット61,ja,,コミックマーケット61
229,230,コミックマーケット59,ja,,コミックマーケット59
231,230,C59,,,C59
235,232,C58,,,C58
240,233,Comiket 57,en,,Comiket 57
243,234,C56,,,C56
247,235,C55,,,C55
251,237,C54,,,C54
254,238,Comic Market 74,en,,Comic Market 74
75,176,C69,,,C69
76,176,Comiket 69,en,,Comiket 69
78,177,Comic Market 80,en,,Comic Market 80
213,226,コミックマーケット73,ja,,コミックマーケット73
79,177,C80,,,C80
80,177,Comiket 80,en,,Comiket 80
693,5616,M3-36,,,M3-36
81,178,M3-2004秋,ja,,M3-2004秋
550,2088,Game Music Concert ③,en,1,Game Music Concert ③
89,182,Hakurei Shrine Reitaisai SP2,en,,Hakurei Shrine Reitaisai SP2
119,196,Hakurei Shrine Reitaisai 9,en,,Hakurei Shrine Reitaisai 9
698,5781,VideoGameSounds Arena 2014,,2,VideoGameSounds Arena 2014
123,197,C67,,,C67
568,2126,東京ゲームショウ2008,ja,1,東京ゲームショウ2008
132,200,M3-2012秋,ja,,M3-2012秋
134,200,M3-30,,,M3-30
701,5939,TGS2015,,2,TGS2015
139,202,TGS 2012,,,TGS 2012
573,2127,東京ゲームショウ2007,ja,1,東京ゲームショウ2007
142,204,コミックマーケット83,ja,,コミックマーケット83
595,309,TGS2010,,2,TGS2010
151,206,M3-2013 Spring,en,,M3-2013 Spring
152,206,M3-31,,,M3-31
616,2200,M3-99 Fall,,2,M3-99 Fall
154,207,Hakurei Shrine Reitaisai 10,en,,Hakurei Shrine Reitaisai 10
643,2266,Comiket 88,,2,Comiket 88
159,208,Comiket 66,en,,Comiket 66
652,2292,ボーマス3,,2,ボーマス3
169,213,東方紅楼夢9,ja,,東方紅楼夢9
657,2324,C3,,2,C3
173,214,C85,,,C85
670,248,東方紅楼夢2,ja,1,東方紅楼夢2
175,215,東京ゲームショウ2013,ja,,東京ゲームショウ2013
193,220,博麗神社例大祭12,ja,1,はくれいじんじゃれいたいさい12
176,215,Tokyo Game Show 2013,en,,Tokyo Game Show 2013
719,12008,Sibelius Weeks,en,1,Sibelius Weeks
182,217,コミックマーケット65,ja,,コミックマーケット65
191,219,C86,,,C86
721,9972,Comic Market 89,en,1,Comic Market 89
734,2319,MAGFest 2014,,2,MAGFest 2014
1393,46788,musica festival strasbourg,,,musica festival strasbourg
202,223,Comic Market 87,en,,Comic Market 87
207,224,C64,,,C64
216,226,Comiket 73,en,,Comiket 73
741,2206,M3-2003 Spring,en,1,M3-2003 Spring
220,227,Comiket 62,en,,Comiket 62
742,2206,M3-11,,2,M3-11
230,230,Comic Market 59,en,,Comic Market 59
744,13580,M3-37,,,M3-37
236,232,Comiket 58,en,,Comiket 58
745,13580,M3-2016 Spring,en,1,M3-2016 Spring
747,14162,Revo Linked BRAVELY DEFAULT Concert,en,1,Revo Linked BRAVELY DEFAULT Concert
748,5939,東京ゲームショウ2015,ja,1,東京ゲームショウ2015
749,14298,THE VOCALOiD MASTER 1,,2,THE VOCALOiD MASTER 1
756,14346,THE VOCALOiD MASTER 28,,2,THE VOCALOiD MASTER 28
758,14344,THE VOCALOiD MASTER 26,,2,THE VOCALOiD MASTER 26
782,14788,博麗神社例大祭13,ja,1,博麗神社例大祭13
784,14851,Woodstock Festival Poland 2012,en,1,Woodstock Festival Poland 2012
82,178,M3-2004 Fall,en,,M3-2004 Fall
203,223,C87,,,C87
83,178,M3-14,,,M3-14
84,179,平成二十二年度 御射宮司祭,ja,,平成二十二年度 御射宮司祭
702,5714,"1976-09-26: Memorial Coliseum, Phoenix, AZ, USA",,,"1976-09-26: Memorial Coliseum, Phoenix, AZ, USA"
85,179,2010 Mishagujisai,en,,2010 Mishagujisai
214,226,Comic Market 73,en,,Comic Market 73
86,180,境界から視えた外界,ja,,境界から視えた外界
87,180,Kyoukai kara Mieta Keshiki,en,,Kyoukai kara Mieta Keshiki
551,2088,Game Music Concert 3,,2,Game Music Concert 3
88,182,博麗神社例大祭SP2,ja,,博麗神社例大祭SP2
120,196,Reitaisai 9,,,Reitaisai 9
722,9972,コミックマーケット89,ja,1,コミックマーケット89
124,197,Comiket 67,en,,Comiket 67
569,2131,東京ゲームショウ2003,ja,1,東京ゲームショウ2003
133,200,M3-2012 Fall,en,,M3-2012 Fall
596,273,TGS2009,,2,TGS2009
135,201,境界から視えた外界-廻-,ja,,境界から視えた外界-廻-
617,2201,M3-1999春,ja,1,M3-1999春
143,204,Comic Market 83,en,,Comic Market 83
196,2154,M3-2014秋,ja,,M3-2014秋
148,205,C84,,,C84
192,219,Comiket 86,en,,Comiket 86
156,208,コミックマーケット66,ja,,コミックマーケット66
644,2267,コミックマーケット1,ja,1,コミックマーケット1
658,2325,C4,,2,C4
671,278,東方紅楼夢3,ja,1,東方紅楼夢3
1394,43032,"Later... with Jools Holland: Series 12, Episode 4",,,"Later... with Jools Holland: Series 12, Episode 4"
166,212,M3-2013秋,ja,,M3-2013秋
738,11636,Salzburg Festival 1996,en,1,Salzburg Festival 1996
174,214,Comiket 85,en,,Comiket 85
743,2206,M3-2003春,ja,1,M3-2003春
746,13580,M3-2016春,ja,1,M3-2016春
750,14352,THE VOCALOiD MASTER 34,,2,THE VOCALOiD MASTER 34
783,14788,Hakurei Shrine Reitaisai 13,en,1,Hakurei Shrine Reitaisai 13
160,209,M3-2006 Spring,en,1,M3-2006 Spring
785,14852,"Woodstock Festival Poland 2012, Day 3",en,1,"Woodstock Festival Poland 2012, Day 3"
185,217,Comiket 65,en,,Comiket 65
186,218,M3-2014春,ja,,M3-2014春
1261,8773,30th Annual Austin Music Awards,,,30th Annual Austin Music Awards
222,228,Comic Market 61,en,,Comic Market 61
225,229,コミックマーケット60,ja,,コミックマーケット60
232,230,Comiket 59,en,,Comiket 59
237,233,コミックマーケット57,ja,,コミックマーケット57
244,234,Comiket 56,en,,Comiket 56
924,29755,Summerfoam,,1,Summerfoam
723,9972,C89,,2,C89
91,183,M3-2011秋,ja,,M3-2011秋
552,2089,ゲーム音楽コンサート2,ja,1,ゲーム音楽コンサート2
92,183,M3-2011 Fall,en,,M3-2011 Fall
93,183,M3-28,,,M3-28
737,3081,Salzburg Festival 1973,en,1,Salzburg Festival 1973
94,184,コミックマーケット68,ja,,コミックマーケット68
570,2130,東京ゲームショウ2004,ja,1,東京ゲームショウ2004
95,184,Comic Market 68,en,,Comic Market 68
597,2126,TGS2008,,2,TGS2008
96,184,C68,,,C68
204,223,Comiket 87,en,,Comiket 87
97,184,Comiket 68,en,,Comiket 68
618,2201,M3-1999 Spring,en,1,M3-1999 Spring
98,185,恋のまほうは魔理沙におまかせ！2,ja,,恋のまほうは魔理沙におまかせ！2
197,2154,M3-2014 Fall,en,,M3-2014 Fall
99,185,Koi no Mahou wa Marisa ni Omakase! 2,en,,Koi no Mahou wa Marisa ni Omakase! 2
645,2267,Comic Market 1,en,1,Comic Market 1
100,186,とら祭り2010,ja,,とら祭り2010
659,2325,Comic Market 4,en,1,Comic Market 4
107,190,Touhou Kouroumu 7,en,,Touhou Kouroumu 7
672,278,Tôhô Kôrômu 3,en,1,Tôhô Kôrômu 3
125,198,サンシャインクリエイション16,ja,,サンシャインクリエイション16
751,14351,THE VOCALOiD MASTER 33,,2,THE VOCALOiD MASTER 33
126,198,Sunshine Creation 16,en,,Sunshine Creation 16
781,14299,THE VOCALOiD MASTER 2,,2,THE VOCALOiD MASTER 2
130,199,C82,,,C82
136,201,Kyoukai kara Mieta Keshiki -Meguru-,en,,Kyoukai kara Mieta Keshiki -Meguru-
145,204,Comiket 83,en,,Comiket 83
153,207,第十回 博麗神社例大祭,ja,,第十回 博麗神社例大祭
158,208,C66,,,C66
167,212,M3-2013 Fall,en,,M3-2013 Fall
177,215,TGS 2013,,,TGS 2013
183,217,Comic Market 65,en,,Comic Market 65
187,218,M3-2014 Spring,en,,M3-2014 Spring
200,222,Touhou Kouroumu 10,en,,Touhou Kouroumu 10
101,186,Tora Matsuri 2010,en,,Tora Matsuri 2010
724,9972,2015年冬コミ,,2,2015年冬コミ
102,188,東方素芸祭,ja,,東方素芸祭
553,2089,Game Music Concert 2,en,1,Game Music Concert 2
103,188,Touhou Sugei Matsuri,en,,Touhou Sugei Matsuri
104,189,東方崇敬祭4,ja,,東方崇敬祭4
105,189,Touhou Suukeisai 4,en,,Touhou Suukeisai 4
571,2129,東京ゲームショウ2005,ja,1,東京ゲームショウ2005
106,190,東方紅楼夢7,ja,,東方紅楼夢7
725,9972,Winter Comiket 2015,,2,Winter Comiket 2015
572,2128,東京ゲームショウ2006,ja,1,東京ゲームショウ2006
598,2127,TGS2007,,2,TGS2007
109,191,M3-16,,,M3-16
619,2201,M3-3,,2,M3-3
110,193,コミックマーケット81,ja,,コミックマーケット81
646,2267,Comiket 1,,2,Comiket 1
111,193,Comic Market 81,en,,Comic Market 81
660,2324,Comic Market 3,en,1,Comic Market 3
112,193,C81,,,C81
1409,46416,Barry Manilow at Clyde Auditorium at SECC,,,Barry Manilow at Clyde Auditorium at SECC
113,193,Comiket 81,en,,Comiket 81
739,12755,Salzburg Festival 2000,en,1,Salzburg Festival 2000
752,14350,THE VOCALOiD MASTER 32,,2,THE VOCALOiD MASTER 32
754,14348,THE VOCALOiD MASTER 30,,2,THE VOCALOiD MASTER 30
115,195,M3-2012春,ja,,M3-2012春
116,195,M3-2012 Spring,en,,M3-2012 Spring
127,198,SC16,,,SC16
137,202,東京ゲームショウ2012,ja,,東京ゲームショウ2012
146,205,コミックマーケット84,ja,,コミックマーケット84
155,207,Reitaisai 10,,,Reitaisai 10
161,209,M3-17,,,M3-17
163,211,サンシャインクリエイション18,ja,,サンシャインクリエイション18
164,211,Sunshine Creation 18,en,,Sunshine Creation 18
165,211,SC18,,,SC18
178,216,博麗神社例大祭11,ja,,博麗神社例大祭11
181,216,Reitaisai 11,,,Reitaisai 11
188,218,M3-33,,,M3-33
726,9972,Comiket 89,,2,Comiket 89
281,252,Reitaisai 6,,,Reitaisai 6
554,219,2014年夏コミ,,2,2014年夏コミ
284,253,M3-2000 Fall,en,,M3-2000 Fall
753,14349,THE VOCALOiD MASTER 31,,2,THE VOCALOiD MASTER 31
574,2132,Tokyo Game Show 2002,en,1,Tokyo Game Show 2002
599,2128,TGS2006,,2,TGS2006
620,2201,M3-99春,,2,M3-99春
297,260,コミックマーケット70,ja,,コミックマーケット70
621,2201,M3-99 Spring,,2,M3-99 Spring
300,260,Comiket 70,en,,Comiket 70
326,270,M3-大阪,ja,1,M3-大阪
304,262,コミックマーケット76,ja,,コミックマーケット76
287,255,M3-2002春,ja,1,M3-2002春
307,262,C76,,,C76
301,261,M3-2003秋,ja,1,M3-2003秋
331,272,ComiComi 10,,2,ComiComi 10
647,2267,C1,,2,C1
661,2323,Comic Market 2,en,1,Comic Market 2
310,263,M3-24,,,M3-24
314,264,M3-21,,,M3-21
316,265,M3-2002 Fall,en,,M3-2002 Fall
318,266,サンシャインクリエイション19,ja,,サンシャインクリエイション19
320,267,Key Mix 5th,ja,,Key Mix 5th
322,268,Sunshine Creation 23,en,,Sunshine Creation 23
324,269,コミックレヴォリューション35,ja,,コミックレヴォリューション35
270,245,Mattari Sapporo Game Show #8,en,1,Mattari Sapporo Game Show #8
328,271,Sunshine Creation 27,en,,Sunshine Creation 27
330,272,Comic Communication 10,en,,Comic Communication 10
336,274,M3-18,,,M3-18
337,275,DreamParty東京2007春,ja,,DreamParty東京2007春
271,246,MAGFest,ja,,MAGFest
727,12242,C90,,2,C90
555,223,2014年冬コミ,,2,2014年冬コミ
282,240,M3-2008秋,ja,1,M3-2008秋
755,14347,THE VOCALOiD MASTER 29,,2,THE VOCALOiD MASTER 29
261,240,M3-2008 Fall,en,1,M3-2008 Fall
575,2131,Tokyo Game Show 2003,en,1,Tokyo Game Show 2003
285,253,M3-6,,,M3-6
601,2130,TGS2004,,2,TGS2004
759,14343,THE VOCALOiD MASTER 25,,2,THE VOCALOiD MASTER 25
622,270,M3 Osaka,en,1,M3 Osaka
293,257,M3-19,,,M3-19
288,255,M3-2002 Spring,en,1,M3-2002 Spring
296,259,MAGFest 8,ja,,MAGFest 8
317,265,M3-10,,2,M3-10
298,260,Comic Market 70,en,,Comic Market 70
662,2325,Comiket 4,,2,Comiket 4
302,261,M3-2003 Fall,en,,M3-2003 Fall
772,14334,THE VOCALOiD MASTER 12,,2,THE VOCALOiD MASTER 12
305,262,Comic Market 76,en,,Comic Market 76
779,14327,THE VOCALOiD MASTER 4,,2,THE VOCALOiD MASTER 4
312,264,M3-2008春,ja,,M3-2008春
319,266,Sunshine Creation 19,en,,Sunshine Creation 19
321,268,サンシャインクリエイション23,ja,,サンシャインクリエイション23
323,245,まったり札幌ゲームショー#8,ja,1,まったり札幌ゲームショー#8
325,269,Comic Revolution 35,en,,Comic Revolution 35
327,271,サンシャインクリエイション27,ja,,サンシャインクリエイション27
329,272,コミックコミュニケーション10,ja,,コミックコミュニケーション10
332,273,東京ゲームショウ2009,ja,,東京ゲームショウ2009
333,273,Tokyo Game Show 2009,en,,Tokyo Game Show 2009
338,275,DreamParty Tokyo 2007 Spring,en,,DreamParty Tokyo 2007 Spring
339,276,東方紅楼夢(第五回),ja,,東方紅楼夢(第五回)
340,276,Touhou Kouroumu 5,en,,Touhou Kouroumu 5
728,12242,コミックマーケット90,ja,1,コミックマーケット90
576,2130,Tokyo Game Show 2004,en,1,Tokyo Game Show 2004
757,14345,THE VOCALOiD MASTER 27,,2,THE VOCALOiD MASTER 27
602,2131,TGS2003,,2,TGS2003
762,14342,THE VOCALOiD MASTER 22,,2,THE VOCALOiD MASTER 22
623,210,M3 Festa,en,1,M3 Festa
274,249,MAGFest 6,ja,,MAGFest 6
663,2324,Comiket 3,,2,Comiket 3
1152,36081,KANA DERO,,,KANA DERO
276,251,M3-2004春,ja,,M3-2004春
277,251,M3-2004 Spring,en,,M3-2004 Spring
278,251,M3-13,,,M3-13
279,252,博麗神社例大祭（第6回）,ja,,博麗神社例大祭（第6回）
280,252,Hakurei Shrine Reitaisai 6,en,,Hakurei Shrine Reitaisai 6
283,253,M3-2000秋,ja,,M3-2000秋
286,254,BrightSeason9,ja,,BrightSeason9
289,255,M3-9,,,M3-9
291,256,M3-23,,,M3-23
295,258,M3-20,,,M3-20
299,260,C70,,,C70
303,261,M3-12,,,M3-12
306,242,DreamParty東京2008春,ja,1,DreamParty東京2008春
264,242,DreamParty Tokyo 2008 Spring,en,1,DreamParty Tokyo 2008 Spring
308,262,Comiket 76,en,,Comiket 76
